pr,jira_key,sp,title,merged_at,days_open,comments,adoc_files,adoc_added,adoc_deleted,adoc_total,other_files,other_added,other_deleted,other_total,total_lines,new_adoc_files,assembly_files,image_files,commits
1685,RHIDP-9781,5,RHIDP-9781: Scorecard KPI aggregated value,2026-02-16,28.4,5,13,468,7,475,0,0,0,0,475,8,0,0,15
1684,RHDHBUGS-2461,1,RHDHBUGS-2461: Add a note about ISO datestyle requirement while using external database,2026-01-21,4.5,5,1,8,5,13,0,0,0,0,13,0,0,0,8
1683,RHDHBUGS-2501,,RHDHBUGS-2501: openshift-ai connector allow for 'rhdh.modelcatalog.io/model-name' override,2026-01-20,3.9,11,2,10,6,16,0,0,0,0,16,0,0,0,3
1682,RHIDP-9739,5,RHIDP-9739: Orchestrator Permissions,2026-01-19,3.0,8,3,152,1,153,0,0,0,0,153,2,0,0,4
1681,RHDHBUGS-2128,2,"RHDHBUGS-2128 part 2, Add missing $ prompt in code blocks for command examples",2026-01-19,4.0,4,29,95,95,190,0,0,0,0,190,0,0,0,8
1680,RHDHBUGS-2498,1,[release-1.8] RHDHBUGS-2498: Update URL for argocd manifest,2026-01-15,0.0,3,2,2,2,4,0,0,0,0,4,0,0,0,1
1679,RHDHBUGS-2498,1,RHDHBUGS-2498: Update URL for argocd manifest,2026-01-15,0.8,5,2,2,2,4,0,0,0,0,4,0,0,0,1
1678,RHIDP-11163,,RHIDP-11163: Release notes for release 1.8.2,2026-01-14,0.0,1,1,2,0,2,0,0,0,0,2,0,0,0,2
1677,,,chore: tagRelease.sh: bump to 1.8.2 in release-1.8 branch [skip-build] [skip-e2e],2026-01-14,0.6,1,1,2,2,4,0,0,0,0,4,0,0,0,1
1676,,,Update the upgrade documentation with new update,2026-01-14,1.9,1,1,27,2,29,0,0,0,0,29,0,0,0,2
1674,RHIDP-9831,5,RHIDP-9831 - Fix release notes script behavior (for release-1.8),2026-01-12,0.2,1,7,246,153,399,3,17,16,33,432,0,0,0,10
1672,RHDHBUGS-2128,2,"[release-1.8] RHDHBUGS-2128 part 1, Add missing $ prompt in code blocks for command examples",2026-01-14,4.7,1,30,136,136,272,0,0,0,0,272,0,0,0,5
1670,RHDHBUGS-2235,2,[release-1.8] RHDHBUGS-2235-1 - How to configure multiple mount paths in Backstage CR,2026-01-09,0.2,2,1,6,1,7,1,1,0,1,8,0,0,0,5
1669,RHIDP-11225,3,RHIDP-11225: JTBD implementation for Scorecards,2026-01-29,20.0,6,25,226,233,459,0,0,0,0,459,7,0,0,8
1668,RHIDP-11247,3,RHIDP-11247: Document upgrading an existing OpenShift Serverless Logic Operator subscription to v1.37,2026-01-12,3.9,2,2,55,1,56,0,0,0,0,56,1,0,0,2
1667,,,[release-1.7] fix: update path for PR comment,2026-01-08,0.0,1,0,0,0,0,1,1,0,1,1,0,0,0,1
1666,,,[release-1.8] fix: update path for PR comment,2026-01-08,0.0,1,0,0,0,0,1,1,0,1,1,0,0,0,1
1665,RHIDP-11072,,[release-1.8] RHIDP-11072: update workflows to be more secure,2026-01-08,0.0,1,0,0,0,0,1,48,9,57,57,0,0,0,3
1664,RHIDP-11072,,[release-1.7] RHIDP-11072: update workflows to be more secure,2026-01-08,0.0,1,0,0,0,0,1,48,9,57,57,0,0,0,3
1663,RHDHBUGS-2235,2,RHDHBUGS-2235-1 - How to configure multiple mount paths in Backstage CR,2026-01-09,0.8,5,1,6,1,7,1,1,0,1,8,0,0,0,11
1662,,,fix: update path for PR comment,2026-01-08,0.1,5,0,0,0,0,1,1,0,1,1,0,0,0,1
1661,,,Fix broken link,2026-01-08,0.0,1,1,1,1,2,0,0,0,0,2,0,0,0,1
1660,,,Update Installing Red Hat Developer Hub on OpenShift Dedicated on Google Cloud Platform Title,2026-01-08,0.1,1,1,2,2,4,0,0,0,0,4,0,0,0,1
1659,,,chore: tagRelease.sh: bump to 1.7.4 in release-1.7 branch [skip-build] [skip-e2e],2026-01-08,0.5,2,1,2,2,4,0,0,0,0,4,0,0,0,1
1658,,,Update broken links in documentation,2026-01-07,0.0,2,0,0,0,0,1,4,0,4,4,0,0,0,1
1657,RHIDP-11267,2,RHIDP-11267: Release Notes for Red Hat Developer Hub 1.7.4,2026-01-08,0.9,2,1,2,0,2,0,0,0,0,2,0,0,0,2
1656,RHIDP-11246,2,RHIDP-11246: Automate component upgrades through Pull Requests,2026-01-09,2.9,2,7,129,13,142,0,0,0,0,142,4,0,0,7
1655,RHDHBUGS-2128,2,"RHDHBUGS-2128 part 1, Add missing $ prompt in code blocks for command examples",2026-01-08,2.9,15,30,136,136,272,0,0,0,0,272,0,0,0,7
