pr,jira_key,sp,title,merged_at,days_open,comments,adoc_files,adoc_added,adoc_deleted,adoc_total,other_files,other_added,other_deleted,other_total,total_lines,new_adoc_files,assembly_files,image_files,commits
1440,,,Manual cherry pick 1422,2025-10-10,0.0,1,5,129,36,165,0,0,0,0,165,2,0,0,1
1439,RHIDP-9188,2,chore(deprecation): move OCM into its own deprecated file (RHIDP-9188),2025-10-10,0.2,1,6,146,97,243,2,32,13,45,288,2,0,0,2
1438,,,Manual cherry-pick for 1416,2025-10-09,0.1,2,13,462,2,464,0,0,0,0,464,11,0,0,1
1437,,,Manual cherrypick for PR-1426,2025-10-09,0.0,1,26,234,197,431,0,0,0,0,431,2,0,0,3
1436,RHDHBUGS-2070,3,[release-1.7] RHDHBUGS-2070 - Added oc-mirror prerequisite,2025-10-09,0.0,1,5,82,73,155,0,0,0,0,155,0,0,0,8
1435,RHIDP-8711,,RHIDP-8711: Orchestrator flavors airgap support (Helm and Operator),2025-11-05,27.9,7,9,550,0,550,0,0,0,0,550,7,0,0,29
1434,,,[release-1.7] chore: update min/max OCP versions supported (4.16-4.19),2025-10-08,0.0,0,1,3,3,6,0,0,0,0,6,0,0,0,2
1433,,,chore: version bump for 1.8 in main branch,2025-10-08,0.2,1,1,5,5,10,0,0,0,0,10,0,0,0,1
1432,,,chore: update min/max OCP versions supported (4.16-4.19),2025-10-08,0.3,4,1,3,3,6,0,0,0,0,6,0,0,0,2
1431,RHIDP-8630,5,RHIDP-8630: Added notification during software template version update,2025-10-09,1.8,1,2,74,0,74,0,0,0,0,74,1,0,0,3
1430,RHDHBUGS-2070,3,RHDHBUGS-2070 - Added oc-mirror prerequisite,2025-10-09,1.9,8,5,82,73,155,0,0,0,0,155,0,0,0,10
1429,RHIDP-9017,5,RHIDP-9017 Updated authenticating with GitHub,2025-10-10,2.8,1,6,126,63,189,0,0,0,0,189,3,0,0,11
1428,RHIDP-9106,2,[release-1.7] RHIDP-9106: Compatibility matrix,2025-10-07,0.0,1,2,22,0,22,0,0,0,0,22,1,0,0,7
1427,,,RHDHBUGS-Fixed Issues and Feature Enhancements-1.7.1,2025-10-08,1.4,2,3,210,174,384,0,0,0,0,384,0,0,0,6
1426,RHIDP-9010,5,RHIDP-9010: AEM-related changes,2025-10-09,3.3,4,25,239,217,456,0,0,0,0,456,2,0,0,5
1424,RHIDP-9105,5,RHIDP-9105: Best practices when creating a workflow,2025-11-05,35.1,11,2,87,1,88,0,0,0,0,88,1,0,0,10
1423,RHIDP-9106,2,RHIDP-9106: Compatibility matrix,2025-10-07,5.8,7,2,22,0,22,0,0,0,0,22,1,0,0,7
1422,RHIDP-9107,5,RHIDP-9107: Orchestrator architecture,2025-10-10,9.6,3,5,129,38,167,0,0,0,0,167,2,0,0,17
1421,,,Manual cherry-pick:Topology modularization,2025-10-01,0.8,1,3,12,5,17,0,0,0,0,17,0,0,0,1
1420,,,Manual cherry-pick:Topology modularization,2025-10-01,0.8,1,2,2,2,4,0,0,0,0,4,0,0,0,3
1419,,,Manual cherrypick,2025-09-30,0.1,1,2,24,9,33,0,0,0,0,33,0,0,0,1
1418,RHIDP-7649,8,RHIDP-7649: Incorrectly structured content related to the Topology plugin,2025-09-30,0.7,5,3,12,5,17,0,0,0,0,17,0,0,0,5
1417,RHDHBUGS-2051,3,RHDHBUGS-2051: Adding further changes,2025-09-29,0.3,5,2,6,1,7,0,0,0,0,7,0,0,0,6
1416,RHIDP-8641,8,RHIDP-8641: Building and Deploying Serverless Workflows,2025-10-09,12.9,4,13,462,1,463,0,0,0,0,463,11,0,0,5
1415,,,chore: tagRelease.sh: bump to 1.6.5 in release-1.6 branch [skip-build],2025-09-25,0.1,2,2,5,3,8,0,0,0,0,8,0,0,0,2
1412,RHDHBUGS-261,5,[release-1.7] RHDHBUGS-261: Minor fixes,2025-09-24,0.0,1,4,5,5,10,0,0,0,0,10,0,0,0,1
1411,RHDHBUGS-261,5,[release-1.6] RHDHBUGS-261: Minor fixes,2025-09-24,0.0,1,4,5,5,10,0,0,0,0,10,0,0,0,1
1410,RHDHBUGS-261,5,RHDHBUGS-261: Minor fixes,2025-09-24,0.0,5,4,5,5,10,0,0,0,0,10,0,0,0,1
1409,RHDHBUGS-1204,,[release-1.7] RHDHBUGS-1204: Fixing a minor issue,2025-09-24,0.0,1,1,1,1,2,0,0,0,0,2,0,0,0,1
1408,RHDHBUGS-1204,,RHDHBUGS-1204: Fixing a minor issue,2025-09-24,0.0,4,1,1,1,2,0,0,0,0,2,0,0,0,1
1407,,,Manual cherrypick for PR-1403,2025-09-24,0.1,1,4,64,1,65,0,0,0,0,65,2,0,0,3
1406,RHIDP-8198,5,RHDIP-8198: removed obsolete doc files,2025-09-24,1.2,4,11,0,314,314,0,0,0,0,314,0,0,0,3
1405,,,Manual cherrpick for PR-1396,2025-09-22,0.0,1,1,24,2,26,0,0,0,0,26,0,0,0,1
1404,RHIDP-7802,3,[release-1.7] RHIDP-7802: Adding short description to Home cards,2025-09-22,0.0,1,1,28,2,30,0,0,0,0,30,0,0,0,5
1403,RHDHBUGS-2051,3,RHDHBUGS-2051: Adding a new topic on adding a new llm provider,2025-09-24,2.0,5,4,73,0,73,0,0,0,0,73,2,0,0,5
1402,RHDHBUGS-2055,1,[release-1.7] RHDHBUGS-2055-Minor fix,2025-09-19,0.0,1,1,13,0,13,0,0,0,0,13,1,0,0,1
1401,RHDHBUGS-2055,1,RHDHBUGS-2055-Minor fix,2025-09-19,0.1,3,1,13,0,13,0,0,0,0,13,1,0,0,1
1400,RHDHBUGS-2055,1,[release-1.7] RHDHBUGS-2055: Incorrect configuration for orchestrator plugins in operator upstream and downstream docs,2025-09-19,0.0,1,1,39,14,53,0,0,0,0,53,0,0,0,1
1399,,,Manual cherry-pick-#1384,2025-09-19,0.1,1,10,212,25,237,0,0,0,0,237,7,0,0,1
1398,,,Default configuration,2025-09-19,0.1,1,10,212,25,237,0,0,0,0,237,7,0,0,1
1397,RHDHBUGS-2056,2,[release-1.7] RHDHBUGS-2056 Missing steps in the orchestrator installment downstream docs,2025-09-19,0.0,1,1,56,1,57,0,0,0,0,57,0,0,0,3
1396,RHIDP-7802,3,RHIDP-7802: Adding short description to Home cards,2025-09-22,3.2,8,1,28,2,30,0,0,0,0,30,0,0,0,5
